N,Estructura,Inserción (s),Búsqueda (s),Limpieza (s),Memoria (MB),Total (s)
100000,TablaHashAbierta,5.8019,0.0222,0.1492,58.10,5.9733
100000,ABB Punteros,0.2421,0.0041,0.0519,9.22,0.2981
100000,ABB VectorHeap,0.2409,1.2192,0.0007,0.83,1.4608
100000,Trie Punteros,6.1333,0.0128,1.2647,501.05,7.4107
100000,Trie Arreglos,6.0424,0.0114,1.0379,573.34,7.0917
N,Estructura,Inserción (s),Búsqueda (s),Limpieza (s),Memoria (MB),Total (s)
100000,TablaHashAbierta,5.7640,0.0218,0.1468,58.10,5.9327
100000,ABB Punteros,0.2398,0.0041,0.0513,9.22,0.2952
100000,ABB VectorHeap,0.2434,1.2129,0.0007,0.83,1.4570
100000,Trie Punteros,6.1823,0.0129,1.2716,501.02,7.4668
100000,Trie Arreglos,5.9931,0.0114,1.0335,573.30,7.0380
N,Estructura,Inserción (s),Búsqueda (s),Limpieza (s),Memoria (MB),Total (s)
100000,TablaHashAbierta,5.8043,0.0222,0.1484,58.10,5.9748
100000,ABB Punteros,0.2441,0.0042,0.0515,9.22,0.2998
100000,ABB VectorHeap,0.2399,1.2119,0.0007,0.83,1.4525
100000,Trie Punteros,6.1407,0.0127,1.2668,501.04,7.4203
100000,Trie Arreglos,5.9706,0.0115,1.0501,573.32,7.0322
N,Estructura,Inserción (s),Búsqueda (s),Limpieza (s),Memoria (MB),Total (s)
100000,TablaHashAbierta,5.8036,0.0221,0.1493,58.10,5.9750
100000,ABB Punteros,0.2491,0.0042,0.0524,9.22,0.3057
100000,ABB VectorHeap,0.2411,1.2352,0.0007,0.83,1.4769
100000,Trie Punteros,6.1414,0.0126,1.2657,501.04,7.4196
100000,Trie Arreglos,5.9731,0.0116,1.0508,573.32,7.0355
N,Estructura,Inserción (s),Búsqueda (s),Limpieza (s),Memoria (MB),Total (s)
100000,TablaHashAbierta,5.7758,0.0219,0.1491,58.10,5.9467
100000,ABB Punteros,0.2521,0.0042,0.0527,9.22,0.3091
100000,ABB VectorHeap,0.2420,1.2205,0.0007,0.83,1.4632
100000,Trie Punteros,6.2031,0.0127,1.2695,501.02,7.4854
100000,Trie Arreglos,5.9824,0.0114,1.0471,573.30,7.0409
N,Estructura,Inserción (s),Búsqueda (s),Limpieza (s),Memoria (MB),Total (s)
100000,TablaHashAbierta,5.7553,0.0219,0.1485,58.10,5.9257
100000,ABB Punteros,0.2395,0.0041,0.0516,9.22,0.2952
100000,ABB VectorHeap,0.2418,1.2194,0.0007,0.83,1.4619
100000,Trie Punteros,6.1942,0.0128,1.2768,500.97,7.4838
100000,Trie Arreglos,5.9886,0.0114,1.0563,573.25,7.0564
N,Estructura,Inserción (s),Búsqueda (s),Limpieza (s),Memoria (MB),Total (s)
100000,TablaHashAbierta,5.8044,0.0219,0.1486,58.10,5.9750
100000,ABB Punteros,0.2471,0.0041,0.0523,9.22,0.3036
100000,ABB VectorHeap,0.2423,1.2171,0.0007,0.83,1.4601
100000,Trie Punteros,6.1446,0.0129,1.2718,500.99,7.4293
100000,Trie Arreglos,5.9944,0.0114,1.0651,573.26,7.0710
N,Estructura,Inserción (s),Búsqueda (s),Limpieza (s),Memoria (MB),Total (s)
100000,TablaHashAbierta,5.7843,0.0219,0.1486,58.10,5.9548
100000,ABB Punteros,0.2427,0.0041,0.0517,9.22,0.2986
100000,ABB VectorHeap,0.2424,1.2225,0.0007,0.83,1.4656
100000,Trie Punteros,6.1473,0.0129,1.2673,501.06,7.4276
100000,Trie Arreglos,5.9967,0.0115,1.0453,573.34,7.0535
N,Estructura,Inserción (s),Búsqueda (s),Limpieza (s),Memoria (MB),Total (s)
100000,TablaHashAbierta,5.7880,0.0221,0.1479,58.10,5.9580
100000,ABB Punteros,0.2408,0.0042,0.0520,9.22,0.2969
100000,ABB VectorHeap,0.2423,1.2325,0.0007,0.83,1.4755
100000,Trie Punteros,6.1812,0.0127,1.2639,500.97,7.4579
100000,Trie Arreglos,5.9828,0.0115,1.0446,573.25,7.0390
N,Estructura,Inserción (s),Búsqueda (s),Limpieza (s),Memoria (MB),Total (s)
100000,TablaHashAbierta,5.8080,0.0218,0.1493,58.10,5.9791
100000,ABB Punteros,0.2393,0.0041,0.0520,9.22,0.2954
100000,ABB VectorHeap,0.2419,1.2148,0.0007,0.83,1.4575
100000,Trie Punteros,6.1946,0.0128,1.2875,501.00,7.4948
100000,Trie Arreglos,5.9953,0.0115,1.0431,573.28,7.0499
